0.367,0.255,6,-8.187,0,0.033,0.92,2.38E-05,0.0944,0.196,136.876,4
0.526,0.0344,7,-27.855,0,0.11,0.996,0.924,0.118,0.208,67.101,4
0.448,0.369,9,-9.514,1,0.0452,0.968,0.272,0.638,0.0998,174.097,3
0.325,0.0947,2,-20.885,0,0.0333,0.906,0.869,0.571,0.0949,49.034,3
0.26,0.556,9,-16.336,0,0.0661,0.269,0.944,0.148,0.104,81.018,4
0.147,0.0168,7,-31.023,0,0.0426,0.906,0.769,0.108,0.0336,138.679,1
0.103,0.0304,10,-28.06,1,0.0441,0.934,0.987,0.249,0.033,89.147,4
0.379,0.0607,11,-25.31,1,0.0351,0.94,0.935,0.1,0.0374,92.146,3
0.23,0.194,1,-15.726,1,0.0445,0.8,0.86,0.136,0.0437,104.801,5
0.241,0.0779,7,-29.503,1,0.0408,0.868,0.868,0.101,0.0373,99.727,4
0.109,0.00665,3,-32.744,1,0.0398,0.909,0.0334,0.128,0.036,69.687,4
0.161,0.0642,4,-25.046,0,0.0426,0.899,0.596,0.104,0.0367,65.874,4
0.13,0.263,1,-17.357,1,0.072,0.632,0.919,0.252,0.0342,77.218,4
0.32,0.102,7,-25.427,1,0.0483,0.786,0.35,0.116,0.0995,177.842,3
0.0782,0.00745,0,-31.538,1,0.0429,0.947,0.475,0.0696,0.0379,81.85,3
0.612,0.219,0,-20.184,1,0.048,0.649,0.841,0.0909,0.0968,117.108,4
0.179,0.385,4,-12.791,1,0.0538,0.71,0.874,0.069,0.125,81.887,4
0.165,0.113,8,-19.62,1,0.0443,0.774,0.816,0.0831,0.05,130.488,5
0.273,0.115,2,-15.914,1,0.0425,0.711,0.696,0.633,0.0382,136.272,4
0.103,0.0562,8,-23.868,1,0.0367,0.831,0.923,0.0946,0.0367,90.534,4
0.263,0.202,5,-18.424,1,0.0404,0.845,0.724,0.261,0.0363,125.892,3
0.183,0.0932,5,-23.573,1,0.0428,0.845,0.917,0.0501,0.037,63.379,4
0.0979,0.108,5,-19.984,0,0.0438,0.851,0.917,0.117,0.0343,83.914,4
